entidad,entidad_ascii,distrito,coalicion,grupo_parlamentario,partido_origen,_ENT_N
GUANAJUATO,GUANAJUATO,2,SIGAMOS HACIENDO HISTORIA,MORENA,,GUANAJUATO
GUANAJUATO,GUANAJUATO,3,SIGAMOS HACIENDO HISTORIA,PVEM,,GUANAJUATO
GUANAJUATO,GUANAJUATO,4,SIGAMOS HACIENDO HISTORIA,MORENA,,GUANAJUATO
GUANAJUATO,GUANAJUATO,5,SIGAMOS HACIENDO HISTORIA,PVEM,,GUANAJUATO
GUANAJUATO,GUANAJUATO,6,SIGAMOS HACIENDO HISTORIA,MORENA,,GUANAJUATO
GUANAJUATO,GUANAJUATO,7,SIGAMOS HACIENDO HISTORIA,PVEM,,GUANAJUATO
GUANAJUATO,GUANAJUATO,8,SIGAMOS HACIENDO HISTORIA,MORENA,,GUANAJUATO
GUANAJUATO,GUANAJUATO,9,SIGAMOS HACIENDO HISTORIA,PVEM,,GUANAJUATO
GUANAJUATO,GUANAJUATO,10,SIGAMOS HACIENDO HISTORIA,MORENA,,GUANAJUATO
GUANAJUATO,GUANAJUATO,11,SIGAMOS HACIENDO HISTORIA,MORENA,,GUANAJUATO
GUANAJUATO,GUANAJUATO,12,SIGAMOS HACIENDO HISTORIA,MORENA,,GUANAJUATO
GUANAJUATO,GUANAJUATO,13,SIGAMOS HACIENDO HISTORIA,MORENA,,GUANAJUATO
GUANAJUATO,GUANAJUATO,14,SIGAMOS HACIENDO HISTORIA,MORENA,,GUANAJUATO
GUANAJUATO,GUANAJUATO,15,SIGAMOS HACIENDO HISTORIA,MORENA,,GUANAJUATO
GUERRERO,GUERRERO,1,SIGAMOS HACIENDO HISTORIA,MORENA,,GUERRERO
GUERRERO,GUERRERO,2,SIGAMOS HACIENDO HISTORIA,MORENA,,GUERRERO
GUERRERO,GUERRERO,3,SIGAMOS HACIENDO HISTORIA,PVEM,,GUERRERO
GUERRERO,GUERRERO,4,SIGAMOS HACIENDO HISTORIA,MORENA,,GUERRERO
GUERRERO,GUERRERO,5,SIGAMOS HACIENDO HISTORIA,PT,,GUERRERO
GUERRERO,GUERRERO,6,SIGAMOS HACIENDO HISTORIA,PVEM,,GUERRERO
GUERRERO,GUERRERO,7,SIGAMOS HACIENDO HISTORIA,MORENA,,GUERRERO
GUERRERO,GUERRERO,8,SIGAMOS HACIENDO HISTORIA,PVEM,,GUERRERO
HIDALGO,HIDALGO,2,SIGAMOS HACIENDO HISTORIA,PVEM,,HIDALGO
JALISCO,JALISCO,1,SIGAMOS HACIENDO HISTORIA,PT,,JALISCO
JALISCO,JALISCO,2,SIGAMOS HACIENDO HISTORIA,MORENA,,JALISCO
JALISCO,JALISCO,4,SIGAMOS HACIENDO HISTORIA,MORENA,,JALISCO
JALISCO,JALISCO,6,SIGAMOS HACIENDO HISTORIA,MORENA,,JALISCO
JALISCO,JALISCO,7,SIGAMOS HACIENDO HISTORIA,MORENA,,JALISCO
JALISCO,JALISCO,8,SIGAMOS HACIENDO HISTORIA,PT,,JALISCO
JALISCO,JALISCO,9,SIGAMOS HACIENDO HISTORIA,MORENA,,JALISCO
JALISCO,JALISCO,10,SIGAMOS HACIENDO HISTORIA,PVEM,,JALISCO
JALISCO,JALISCO,11,SIGAMOS HACIENDO HISTORIA,MORENA,,JALISCO
JALISCO,JALISCO,12,SIGAMOS HACIENDO HISTORIA,MORENA,,JALISCO
JALISCO,JALISCO,13,SIGAMOS HACIENDO HISTORIA,PT,,JALISCO
JALISCO,JALISCO,14,SIGAMOS HACIENDO HISTORIA,PVEM,,JALISCO
JALISCO,JALISCO,15,SIGAMOS HACIENDO HISTORIA,MORENA,,JALISCO
JALISCO,JALISCO,16,SIGAMOS HACIENDO HISTORIA,MORENA,,JALISCO
JALISCO,JALISCO,17,SIGAMOS HACIENDO HISTORIA,PVEM,,JALISCO
JALISCO,JALISCO,18,SIGAMOS HACIENDO HISTORIA,MORENA,,JALISCO
JALISCO,JALISCO,19,SIGAMOS HACIENDO HISTORIA,MORENA,,JALISCO
JALISCO,JALISCO,20,SIGAMOS HACIENDO HISTORIA,MORENA,,JALISCO
MÉXICO,MEXICO,1,SIGAMOS HACIENDO HISTORIA,PVEM,,MEXICO
MÉXICO,MEXICO,2,SIGAMOS HACIENDO HISTORIA,PT,,MEXICO
MÉXICO,MEXICO,3,SIGAMOS HACIENDO HISTORIA,PT,,MEXICO
MÉXICO,MEXICO,4,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,5,SIGAMOS HACIENDO HISTORIA,PT,,MEXICO
MÉXICO,MEXICO,6,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,7,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,8,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,9,SIGAMOS HACIENDO HISTORIA,PVEM,,MEXICO
MÉXICO,MEXICO,10,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,12,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,14,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,15,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,16,SIGAMOS HACIENDO HISTORIA,PT,,MEXICO
MÉXICO,MEXICO,18,SIGAMOS HACIENDO HISTORIA,PVEM,,MEXICO
MÉXICO,MEXICO,19,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,20,SIGAMOS HACIENDO HISTORIA,PVEM,,MEXICO
MÉXICO,MEXICO,21,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,22,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,23,SIGAMOS HACIENDO HISTORIA,PVEM,,MEXICO
MÉXICO,MEXICO,24,SIGAMOS HACIENDO HISTORIA,PVEM,,MEXICO
MÉXICO,MEXICO,25,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,26,SIGAMOS HACIENDO HISTORIA,PVEM,,MEXICO
MÉXICO,MEXICO,27,SIGAMOS HACIENDO HISTORIA,PT,,MEXICO
MÉXICO,MEXICO,28,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,30,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,32,SIGAMOS HACIENDO HISTORIA,PT,,MEXICO
MÉXICO,MEXICO,34,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,35,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,36,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,37,SIGAMOS HACIENDO HISTORIA,MORENA,,MEXICO
MÉXICO,MEXICO,38,SIGAMOS HACIENDO HISTORIA,PVEM,,MEXICO
MÉXICO,MEXICO,39,SIGAMOS HACIENDO HISTORIA,PT,,MEXICO
MÉXICO,MEXICO,40,SIGAMOS HACIENDO HISTORIA,PVEM,,MEXICO
MICHOACÁN,MICHOACAN,3,SIGAMOS HACIENDO HISTORIA,PT,,MICHOACAN
MICHOACÁN,MICHOACAN,4,SIGAMOS HACIENDO HISTORIA,MORENA,,MICHOACAN
MICHOACÁN,MICHOACAN,5,SIGAMOS HACIENDO HISTORIA,MORENA,,MICHOACAN
MICHOACÁN,MICHOACAN,6,SIGAMOS HACIENDO HISTORIA,PT,,MICHOACAN
MICHOACÁN,MICHOACAN,7,SIGAMOS HACIENDO HISTORIA,MORENA,,MICHOACAN
MICHOACÁN,MICHOACAN,8,SIGAMOS HACIENDO HISTORIA,PVEM,,MICHOACAN
MICHOACÁN,MICHOACAN,9,SIGAMOS HACIENDO HISTORIA,PVEM,,MICHOACAN
MICHOACÁN,MICHOACAN,10,SIGAMOS HACIENDO HISTORIA,MORENA,,MICHOACAN
MICHOACÁN,MICHOACAN,11,SIGAMOS HACIENDO HISTORIA,PT,,MICHOACAN
MORELOS,MORELOS,1,SIGAMOS HACIENDO HISTORIA,MORENA,,MORELOS
MORELOS,MORELOS,2,SIGAMOS HACIENDO HISTORIA,MORENA,,MORELOS
MORELOS,MORELOS,3,SIGAMOS HACIENDO HISTORIA,PVEM,,MORELOS
MORELOS,MORELOS,4,SIGAMOS HACIENDO HISTORIA,MORENA,,MORELOS
MORELOS,MORELOS,5,SIGAMOS HACIENDO HISTORIA,MORENA,,MORELOS
NAYARIT,NAYARIT,1,SIGAMOS HACIENDO HISTORIA,MORENA,,NAYARIT
NAYARIT,NAYARIT,2,SIGAMOS HACIENDO HISTORIA,MORENA,,NAYARIT
NAYARIT,NAYARIT,3,SIGAMOS HACIENDO HISTORIA,PT,,NAYARIT
NUEVO LEÓN,NUEVO LEON,1,SIGAMOS HACIENDO HISTORIA,PVEM,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,2,SIGAMOS HACIENDO HISTORIA,MORENA,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,3,SIGAMOS HACIENDO HISTORIA,PT,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,4,SIGAMOS HACIENDO HISTORIA,MORENA,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,5,SIGAMOS HACIENDO HISTORIA,PT,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,6,SIGAMOS HACIENDO HISTORIA,PT,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,7,SIGAMOS HACIENDO HISTORIA,PVEM,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,8,SIGAMOS HACIENDO HISTORIA,MORENA,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,9,SIGAMOS HACIENDO HISTORIA,PT,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,10,SIGAMOS HACIENDO HISTORIA,MORENA,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,11,SIGAMOS HACIENDO HISTORIA,MORENA,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,12,SIGAMOS HACIENDO HISTORIA,PVEM,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,13,SIGAMOS HACIENDO HISTORIA,PVEM,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,14,SIGAMOS HACIENDO HISTORIA,PT,,NUEVO LEON
OAXACA,OAXACA,1,SIGAMOS HACIENDO HISTORIA,MORENA,,OAXACA
OAXACA,OAXACA,2,SIGAMOS HACIENDO HISTORIA,MORENA,,OAXACA
OAXACA,OAXACA,3,SIGAMOS HACIENDO HISTORIA,PT,,OAXACA
OAXACA,OAXACA,6,SIGAMOS HACIENDO HISTORIA,PT,,OAXACA
OAXACA,OAXACA,7,SIGAMOS HACIENDO HISTORIA,PVEM,,OAXACA
OAXACA,OAXACA,8,SIGAMOS HACIENDO HISTORIA,PVEM,,OAXACA
OAXACA,OAXACA,9,SIGAMOS HACIENDO HISTORIA,PVEM,,OAXACA
PUEBLA,PUEBLA,1,SIGAMOS HACIENDO HISTORIA,MORENA,,PUEBLA
PUEBLA,PUEBLA,2,SIGAMOS HACIENDO HISTORIA,PVEM,,PUEBLA
PUEBLA,PUEBLA,3,SIGAMOS HACIENDO HISTORIA,MORENA,,PUEBLA
PUEBLA,PUEBLA,4,SIGAMOS HACIENDO HISTORIA,MORENA,,PUEBLA
PUEBLA,PUEBLA,5,SIGAMOS HACIENDO HISTORIA,MORENA,,PUEBLA
PUEBLA,PUEBLA,6,SIGAMOS HACIENDO HISTORIA,MORENA,,PUEBLA
PUEBLA,PUEBLA,7,SIGAMOS HACIENDO HISTORIA,MORENA,,PUEBLA
PUEBLA,PUEBLA,8,SIGAMOS HACIENDO HISTORIA,MORENA,,PUEBLA
PUEBLA,PUEBLA,9,SIGAMOS HACIENDO HISTORIA,PVEM,,PUEBLA
PUEBLA,PUEBLA,10,SIGAMOS HACIENDO HISTORIA,MORENA,,PUEBLA
PUEBLA,PUEBLA,11,SIGAMOS HACIENDO HISTORIA,PT,,PUEBLA
PUEBLA,PUEBLA,12,SIGAMOS HACIENDO HISTORIA,PT,,PUEBLA
PUEBLA,PUEBLA,13,SIGAMOS HACIENDO HISTORIA,MORENA,,PUEBLA
PUEBLA,PUEBLA,14,SIGAMOS HACIENDO HISTORIA,MORENA,,PUEBLA
PUEBLA,PUEBLA,15,SIGAMOS HACIENDO HISTORIA,MORENA,,PUEBLA
PUEBLA,PUEBLA,16,SIGAMOS HACIENDO HISTORIA,PVEM,,PUEBLA
QUERÉTARO,QUERETARO,1,SIGAMOS HACIENDO HISTORIA,MORENA,,QUERETARO
QUERÉTARO,QUERETARO,2,SIGAMOS HACIENDO HISTORIA,PVEM,,QUERETARO
QUERÉTARO,QUERETARO,5,SIGAMOS HACIENDO HISTORIA,MORENA,,QUERETARO
QUERÉTARO,QUERETARO,6,SIGAMOS HACIENDO HISTORIA,MORENA,,QUERETARO
QUINTANA ROO,QUINTANA ROO,1,SIGAMOS HACIENDO HISTORIA,PVEM,,QUINTANA ROO
QUINTANA ROO,QUINTANA ROO,2,SIGAMOS HACIENDO HISTORIA,MORENA,,QUINTANA ROO
QUINTANA ROO,QUINTANA ROO,4,SIGAMOS HACIENDO HISTORIA,MORENA,,QUINTANA ROO
SAN LUIS POTOSÍ,SAN LUIS POTOSI,1,SIGAMOS HACIENDO HISTORIA,MORENA,,SAN LUIS POTOSI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,2,SIGAMOS HACIENDO HISTORIA,PVEM,,SAN LUIS POTOSI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,3,SIGAMOS HACIENDO HISTORIA,PVEM,,SAN LUIS POTOSI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,4,SIGAMOS HACIENDO HISTORIA,MORENA,,SAN LUIS POTOSI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,5,SIGAMOS HACIENDO HISTORIA,PVEM,,SAN LUIS POTOSI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,6,SIGAMOS HACIENDO HISTORIA,PVEM,,SAN LUIS POTOSI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,7,SIGAMOS HACIENDO HISTORIA,MORENA,,SAN LUIS POTOSI
SINALOA,SINALOA,1,SIGAMOS HACIENDO HISTORIA,PVEM,,SINALOA
SINALOA,SINALOA,3,SIGAMOS HACIENDO HISTORIA,PT,,SINALOA
SINALOA,SINALOA,4,SIGAMOS HACIENDO HISTORIA,PVEM,,SINALOA
SINALOA,SINALOA,5,SIGAMOS HACIENDO HISTORIA,MORENA,,SINALOA
SINALOA,SINALOA,7,SIGAMOS HACIENDO HISTORIA,MORENA,,SINALOA
SONORA,SONORA,1,SIGAMOS HACIENDO HISTORIA,MORENA,,SONORA
SONORA,SONORA,2,SIGAMOS HACIENDO HISTORIA,MORENA,,SONORA
SONORA,SONORA,3,SIGAMOS HACIENDO HISTORIA,PT,,SONORA
SONORA,SONORA,4,SIGAMOS HACIENDO HISTORIA,PT,,SONORA
SONORA,SONORA,5,SIGAMOS HACIENDO HISTORIA,MORENA,,SONORA
SONORA,SONORA,6,SIGAMOS HACIENDO HISTORIA,PVEM,,SONORA
SONORA,SONORA,7,SIGAMOS HACIENDO HISTORIA,MORENA,,SONORA
TAMAULIPAS,TAMAULIPAS,1,SIGAMOS HACIENDO HISTORIA,PVEM,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,2,SIGAMOS HACIENDO HISTORIA,MORENA,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,3,SIGAMOS HACIENDO HISTORIA,PVEM,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,4,SIGAMOS HACIENDO HISTORIA,PVEM,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,5,SIGAMOS HACIENDO HISTORIA,PVEM,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,6,SIGAMOS HACIENDO HISTORIA,MORENA,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,7,SIGAMOS HACIENDO HISTORIA,MORENA,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,8,SIGAMOS HACIENDO HISTORIA,PT,,TAMAULIPAS
TLAXCALA,TLAXCALA,1,SIGAMOS HACIENDO HISTORIA,PT,,TLAXCALA
TLAXCALA,TLAXCALA,2,SIGAMOS HACIENDO HISTORIA,PVEM,,TLAXCALA
TLAXCALA,TLAXCALA,3,SIGAMOS HACIENDO HISTORIA,PT,,TLAXCALA
VERACRUZ,VERACRUZ,1,SIGAMOS HACIENDO HISTORIA,PVEM,,VERACRUZ
VERACRUZ,VERACRUZ,2,SIGAMOS HACIENDO HISTORIA,PVEM,,VERACRUZ
VERACRUZ,VERACRUZ,3,SIGAMOS HACIENDO HISTORIA,PVEM,,VERACRUZ
VERACRUZ,VERACRUZ,4,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,5,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,6,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,7,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,9,SIGAMOS HACIENDO HISTORIA,PT,,VERACRUZ
VERACRUZ,VERACRUZ,10,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,11,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,12,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,13,SIGAMOS HACIENDO HISTORIA,PVEM,,VERACRUZ
VERACRUZ,VERACRUZ,14,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,15,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,16,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,17,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,18,SIGAMOS HACIENDO HISTORIA,PVEM,,VERACRUZ
VERACRUZ,VERACRUZ,19,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
YUCATÁN,YUCATAN,1,SIGAMOS HACIENDO HISTORIA,MORENA,,YUCATAN
YUCATÁN,YUCATAN,2,SIGAMOS HACIENDO HISTORIA,PVEM,,YUCATAN
YUCATÁN,YUCATAN,3,SIGAMOS HACIENDO HISTORIA,MORENA,,YUCATAN
YUCATÁN,YUCATAN,4,SIGAMOS HACIENDO HISTORIA,MORENA,,YUCATAN
YUCATÁN,YUCATAN,5,SIGAMOS HACIENDO HISTORIA,PVEM,,YUCATAN
YUCATÁN,YUCATAN,6,SIGAMOS HACIENDO HISTORIA,MORENA,,YUCATAN
ZACATECAS,ZACATECAS,1,SIGAMOS HACIENDO HISTORIA,MORENA,,ZACATECAS
ZACATECAS,ZACATECAS,2,SIGAMOS HACIENDO HISTORIA,PVEM,,ZACATECAS
ZACATECAS,ZACATECAS,3,SIGAMOS HACIENDO HISTORIA,PT,,ZACATECAS
ZACATECAS,ZACATECAS,4,SIGAMOS HACIENDO HISTORIA,PT,,ZACATECAS
