ENTIDAD,DISTRITO,DIST_CH,winner_compound,winner_siglado,SIGLADO_PRESENT,TOTAL_VOTOS,same
AGUASCALIENTES,1,1,PAN,SIGAMOS HACIENDO HISTORIA,True,215011,False
AGUASCALIENTES,2,2,PAN,SIGAMOS HACIENDO HISTORIA,True,188541,False
AGUASCALIENTES,3,3,PAN,SIGAMOS HACIENDO HISTORIA,True,231725,False
BAJA CALIFORNIA,1,1,MORENA,FUERZA Y CORAZON POR MEXICO,True,163614,False
BAJA CALIFORNIA,2,2,MORENA,FUERZA Y CORAZON POR MEXICO,True,157587,False
BAJA CALIFORNIA,3,3,MORENA,FUERZA Y CORAZON POR MEXICO,True,157764,False
BAJA CALIFORNIA,4,4,MORENA,FUERZA Y CORAZON POR MEXICO,True,163745,False
BAJA CALIFORNIA,5,5,MORENA,FUERZA Y CORAZON POR MEXICO,True,188936,False
BAJA CALIFORNIA,6,6,MORENA,FUERZA Y CORAZON POR MEXICO,True,174319,False
BAJA CALIFORNIA,7,7,MORENA,FUERZA Y CORAZON POR MEXICO,True,145214,False
BAJA CALIFORNIA,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,161531,False
BAJA CALIFORNIA,9,9,MORENA,FUERZA Y CORAZON POR MEXICO,True,147006,False
BAJA CALIFORNIA SUR,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,192190,False
BAJA CALIFORNIA SUR,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,131930,False
CAMPECHE,1,1,MC,SIGAMOS HACIENDO HISTORIA,True,232695,False
CAMPECHE,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,199830,False
CHIAPAS,1,1,PVEM,SIGAMOS HACIENDO HISTORIA,True,194223,False
CHIAPAS,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,165724,False
CHIAPAS,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,186666,False
CHIAPAS,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,180297,False
CHIAPAS,5,5,PRI,SIGAMOS HACIENDO HISTORIA,True,182649,False
CHIAPAS,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,174102,False
CHIAPAS,7,7,MORENA,FUERZA Y CORAZON POR MEXICO,True,183226,False
CHIAPAS,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,169658,False
CHIAPAS,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,155200,False
CHIAPAS,10,10,MORENA,SIGAMOS HACIENDO HISTORIA,True,172022,False
CHIAPAS,11,11,MORENA,SIGAMOS HACIENDO HISTORIA,True,168602,False
CHIAPAS,12,12,MORENA,FUERZA Y CORAZON POR MEXICO,True,167747,False
CHIAPAS,13,13,MORENA,SIGAMOS HACIENDO HISTORIA,True,171452,False
CHIHUAHUA,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,151582,False
CHIHUAHUA,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,123778,False
CHIHUAHUA,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,153513,False
CHIHUAHUA,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,185375,False
CHIHUAHUA,5,5,PAN,SIGAMOS HACIENDO HISTORIA,True,188926,False
CHIHUAHUA,6,6,PAN,SIGAMOS HACIENDO HISTORIA,True,223014,False
CHIHUAHUA,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,176780,False
CHIHUAHUA,8,8,PAN,SIGAMOS HACIENDO HISTORIA,True,207131,False
CHIHUAHUA,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,167598,False
CIUDAD DE MÉXICO,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,226609,False
CIUDAD DE MÉXICO,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,283787,False
CIUDAD DE MÉXICO,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,272192,False
CIUDAD DE MÉXICO,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,194979,False
CIUDAD DE MÉXICO,5,5,MORENA,SIGAMOS HACIENDO HISTORIA,True,232036,False
CIUDAD DE MÉXICO,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,244777,False
CIUDAD DE MÉXICO,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,282997,False
CIUDAD DE MÉXICO,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,268754,False
CIUDAD DE MÉXICO,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,201083,False
CIUDAD DE MÉXICO,10,10,PAN,SIGAMOS HACIENDO HISTORIA,True,236781,False
CIUDAD DE MÉXICO,11,11,MORENA,SIGAMOS HACIENDO HISTORIA,True,275941,False
CIUDAD DE MÉXICO,12,12,MORENA,SIGAMOS HACIENDO HISTORIA,True,253736,False
CIUDAD DE MÉXICO,13,13,MORENA,SIGAMOS HACIENDO HISTORIA,True,248642,False
CIUDAD DE MÉXICO,14,14,MORENA,SIGAMOS HACIENDO HISTORIA,True,257136,False
CIUDAD DE MÉXICO,15,15,PAN,SIGAMOS HACIENDO HISTORIA,True,289959,False
CIUDAD DE MÉXICO,16,16,MORENA,SIGAMOS HACIENDO HISTORIA,True,219252,False
CIUDAD DE MÉXICO,17,17,MORENA,SIGAMOS HACIENDO HISTORIA,True,248151,False
CIUDAD DE MÉXICO,18,18,MORENA,SIGAMOS HACIENDO HISTORIA,True,250373,False
CIUDAD DE MÉXICO,19,19,PAN,SIGAMOS HACIENDO HISTORIA,True,242701,False
CIUDAD DE MÉXICO,20,20,MORENA,SIGAMOS HACIENDO HISTORIA,True,259843,False
CIUDAD DE MÉXICO,21,21,MORENA,SIGAMOS HACIENDO HISTORIA,True,219101,False
CIUDAD DE MÉXICO,22,22,MORENA,SIGAMOS HACIENDO HISTORIA,True,181566,False
COAHUILA,1,1,PRI,SIGAMOS HACIENDO HISTORIA,True,189655,False
COAHUILA,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,193328,False
COAHUILA,3,3,PRI,SIGAMOS HACIENDO HISTORIA,True,211703,False
COAHUILA,4,4,PRI,SIGAMOS HACIENDO HISTORIA,True,211215,False
COAHUILA,5,5,PRI,SIGAMOS HACIENDO HISTORIA,True,189909,False
COAHUILA,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,180109,False
COAHUILA,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,197992,False
COAHUILA,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,167558,False
COLIMA,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,181287,False
COLIMA,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,146286,False
DURANGO,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,172299,False
DURANGO,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,188747,False
DURANGO,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,189664,False
DURANGO,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,198347,False
GUANAJUATO,1,1,PAN,SIGAMOS HACIENDO HISTORIA,True,162208,False
GUANAJUATO,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,176197,False
GUANAJUATO,3,3,PAN,SIGAMOS HACIENDO HISTORIA,True,212985,False
GUANAJUATO,4,4,PAN,SIGAMOS HACIENDO HISTORIA,True,162235,False
GUANAJUATO,5,5,PAN,SIGAMOS HACIENDO HISTORIA,True,170263,False
GUANAJUATO,6,6,PAN,SIGAMOS HACIENDO HISTORIA,True,169642,False
GUANAJUATO,7,7,PAN,SIGAMOS HACIENDO HISTORIA,True,151420,False
GUANAJUATO,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,192509,False
GUANAJUATO,9,9,PAN,SIGAMOS HACIENDO HISTORIA,True,163251,False
GUANAJUATO,10,10,MORENA,SIGAMOS HACIENDO HISTORIA,True,199186,False
GUANAJUATO,11,11,PAN,SIGAMOS HACIENDO HISTORIA,True,192737,False
GUANAJUATO,12,12,MORENA,SIGAMOS HACIENDO HISTORIA,True,197710,False
GUANAJUATO,13,13,MORENA,SIGAMOS HACIENDO HISTORIA,True,179064,False
GUANAJUATO,14,14,MORENA,SIGAMOS HACIENDO HISTORIA,True,162361,False
GUANAJUATO,15,15,MORENA,SIGAMOS HACIENDO HISTORIA,True,158318,False
GUERRERO,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,205125,False
GUERRERO,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,142563,False
GUERRERO,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,178597,False
GUERRERO,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,160568,False
GUERRERO,5,5,MORENA,SIGAMOS HACIENDO HISTORIA,True,193604,False
GUERRERO,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,189536,False
GUERRERO,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,175898,False
GUERRERO,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,210515,False
HIDALGO,1,1,MORENA,FUERZA Y CORAZON POR MEXICO,True,218963,False
HIDALGO,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,220568,False
HIDALGO,3,3,MORENA,FUERZA Y CORAZON POR MEXICO,True,202796,False
HIDALGO,4,4,MORENA,FUERZA Y CORAZON POR MEXICO,True,178217,False
HIDALGO,5,5,MORENA,FUERZA Y CORAZON POR MEXICO,True,228306,False
HIDALGO,6,6,MORENA,FUERZA Y CORAZON POR MEXICO,True,216352,False
HIDALGO,7,7,MORENA,FUERZA Y CORAZON POR MEXICO,True,192700,False
JALISCO,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,201293,False
JALISCO,2,2,MC,SIGAMOS HACIENDO HISTORIA,True,174420,False
JALISCO,3,3,PAN,FUERZA Y CORAZON POR MEXICO,True,189508,False
JALISCO,4,4,MC,SIGAMOS HACIENDO HISTORIA,True,199074,False
JALISCO,5,5,MORENA,FUERZA Y CORAZON POR MEXICO,True,178480,False
JALISCO,6,6,MC,SIGAMOS HACIENDO HISTORIA,True,169996,False
JALISCO,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,140136,False
JALISCO,8,8,MC,SIGAMOS HACIENDO HISTORIA,True,261384,False
JALISCO,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,205859,False
JALISCO,10,10,PAN,SIGAMOS HACIENDO HISTORIA,True,234682,False
JALISCO,11,11,MORENA,SIGAMOS HACIENDO HISTORIA,True,229281,False
JALISCO,12,12,MC,SIGAMOS HACIENDO HISTORIA,True,177055,False
JALISCO,13,13,MORENA,SIGAMOS HACIENDO HISTORIA,True,178612,False
JALISCO,14,14,MORENA,SIGAMOS HACIENDO HISTORIA,True,112115,False
JALISCO,15,15,PAN,SIGAMOS HACIENDO HISTORIA,True,183313,False
JALISCO,16,16,MORENA,SIGAMOS HACIENDO HISTORIA,True,172699,False
JALISCO,17,17,MORENA,SIGAMOS HACIENDO HISTORIA,True,175800,False
JALISCO,18,18,MORENA,SIGAMOS HACIENDO HISTORIA,True,202608,False
JALISCO,19,19,MORENA,SIGAMOS HACIENDO HISTORIA,True,200829,False
JALISCO,20,20,MORENA,SIGAMOS HACIENDO HISTORIA,True,129123,False
MICHOACÁN,1,1,MORENA,FUERZA Y CORAZON POR MEXICO,True,156394,False
MICHOACÁN,2,2,MORENA,FUERZA Y CORAZON POR MEXICO,True,143764,False
MICHOACÁN,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,193639,False
MICHOACÁN,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,165481,False
MICHOACÁN,5,5,MORENA,SIGAMOS HACIENDO HISTORIA,True,175316,False
MICHOACÁN,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,194686,False
MICHOACÁN,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,190416,False
MICHOACÁN,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,175935,False
MICHOACÁN,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,107345,False
MICHOACÁN,10,10,PAN,SIGAMOS HACIENDO HISTORIA,True,196242,False
MICHOACÁN,11,11,MORENA,SIGAMOS HACIENDO HISTORIA,True,180296,False
MORELOS,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,201087,False
MORELOS,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,200721,False
MORELOS,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,180353,False
MORELOS,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,188160,False
MORELOS,5,5,MORENA,SIGAMOS HACIENDO HISTORIA,True,165528,False
MÉXICO,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,227748,False
MÉXICO,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,183978,False
MÉXICO,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,214870,False
MÉXICO,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,181990,False
MÉXICO,5,5,MORENA,SIGAMOS HACIENDO HISTORIA,True,190402,False
MÉXICO,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,226428,False
MÉXICO,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,237014,False
MÉXICO,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,217381,False
MÉXICO,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,197733,False
MÉXICO,10,10,MORENA,SIGAMOS HACIENDO HISTORIA,True,180662,False
MÉXICO,11,11,MORENA,,False,185401,False
MÉXICO,12,12,MORENA,SIGAMOS HACIENDO HISTORIA,True,167444,False
MÉXICO,13,13,MORENA,,False,231673,False
MÉXICO,14,14,MORENA,SIGAMOS HACIENDO HISTORIA,True,176282,False
MÉXICO,15,15,MORENA,SIGAMOS HACIENDO HISTORIA,True,229415,False
MÉXICO,16,16,MORENA,SIGAMOS HACIENDO HISTORIA,True,190335,False
MÉXICO,17,17,MORENA,,False,170538,False
MÉXICO,18,18,MORENA,SIGAMOS HACIENDO HISTORIA,True,242916,False
MÉXICO,19,19,MORENA,SIGAMOS HACIENDO HISTORIA,True,284865,False
MÉXICO,20,20,MORENA,SIGAMOS HACIENDO HISTORIA,True,158222,False
MÉXICO,21,21,MORENA,SIGAMOS HACIENDO HISTORIA,True,196654,False
MÉXICO,22,22,PAN,SIGAMOS HACIENDO HISTORIA,True,242353,False
MÉXICO,23,23,MORENA,SIGAMOS HACIENDO HISTORIA,True,207502,False
MÉXICO,24,24,MORENA,SIGAMOS HACIENDO HISTORIA,True,245998,False
MÉXICO,25,25,MORENA,SIGAMOS HACIENDO HISTORIA,True,156912,False
MÉXICO,26,26,MORENA,SIGAMOS HACIENDO HISTORIA,True,212112,False
MÉXICO,27,27,MORENA,SIGAMOS HACIENDO HISTORIA,True,255083,False
MÉXICO,28,28,MORENA,SIGAMOS HACIENDO HISTORIA,True,155851,False
MÉXICO,29,29,MORENA,,False,216089,False
MÉXICO,30,30,MORENA,SIGAMOS HACIENDO HISTORIA,True,153673,False
MÉXICO,31,31,MORENA,,False,216846,False
MÉXICO,32,32,MORENA,SIGAMOS HACIENDO HISTORIA,True,158430,False
MÉXICO,33,33,MORENA,,False,157773,False
MÉXICO,34,34,MORENA,SIGAMOS HACIENDO HISTORIA,True,257775,False
MÉXICO,35,35,MORENA,SIGAMOS HACIENDO HISTORIA,True,208530,False
MÉXICO,36,36,MORENA,SIGAMOS HACIENDO HISTORIA,True,205299,False
MÉXICO,37,37,MORENA,SIGAMOS HACIENDO HISTORIA,True,204386,False
MÉXICO,38,38,MORENA,SIGAMOS HACIENDO HISTORIA,True,175637,False
MÉXICO,39,39,MORENA,SIGAMOS HACIENDO HISTORIA,True,165350,False
MÉXICO,40,40,MORENA,SIGAMOS HACIENDO HISTORIA,True,228155,False
NAYARIT,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,160058,False
NAYARIT,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,173674,False
NAYARIT,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,175819,False
NUEVO LEÓN,1,1,PAN,SIGAMOS HACIENDO HISTORIA,True,211242,False
NUEVO LEÓN,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,185003,False
NUEVO LEÓN,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,161437,False
NUEVO LEÓN,4,4,PAN,SIGAMOS HACIENDO HISTORIA,True,231009,False
NUEVO LEÓN,5,5,MC,SIGAMOS HACIENDO HISTORIA,True,161134,False
NUEVO LEÓN,6,6,PAN,SIGAMOS HACIENDO HISTORIA,True,212187,False
NUEVO LEÓN,7,7,MC,SIGAMOS HACIENDO HISTORIA,True,115580,False
NUEVO LEÓN,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,181484,False
NUEVO LEÓN,9,9,PRI,SIGAMOS HACIENDO HISTORIA,True,180640,False
NUEVO LEÓN,10,10,PAN,SIGAMOS HACIENDO HISTORIA,True,198906,False
NUEVO LEÓN,11,11,MORENA,SIGAMOS HACIENDO HISTORIA,True,217133,False
NUEVO LEÓN,12,12,MC,SIGAMOS HACIENDO HISTORIA,True,140107,False
NUEVO LEÓN,13,13,MC,SIGAMOS HACIENDO HISTORIA,True,126180,False
NUEVO LEÓN,14,14,MORENA,SIGAMOS HACIENDO HISTORIA,True,141820,False
OAXACA,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,199073,False
OAXACA,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,175760,False
OAXACA,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,201214,False
OAXACA,4,4,MORENA,FUERZA Y CORAZON POR MEXICO,True,164132,False
OAXACA,5,5,MORENA,FUERZA Y CORAZON POR MEXICO,True,164779,False
OAXACA,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,152555,False
OAXACA,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,163859,False
OAXACA,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,211574,False
OAXACA,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,164497,False
OAXACA,10,10,MORENA,FUERZA Y CORAZON POR MEXICO,True,167885,False
PUEBLA,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,188016,False
PUEBLA,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,201222,False
PUEBLA,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,199711,False
PUEBLA,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,199734,False
PUEBLA,5,5,MORENA,SIGAMOS HACIENDO HISTORIA,True,187712,False
PUEBLA,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,191150,False
PUEBLA,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,173862,False
PUEBLA,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,174190,False
PUEBLA,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,230005,False
PUEBLA,10,10,MORENA,SIGAMOS HACIENDO HISTORIA,True,210522,False
PUEBLA,11,11,MORENA,SIGAMOS HACIENDO HISTORIA,True,196936,False
PUEBLA,12,12,MORENA,SIGAMOS HACIENDO HISTORIA,True,203366,False
PUEBLA,13,13,MORENA,SIGAMOS HACIENDO HISTORIA,True,175650,False
PUEBLA,14,14,MORENA,SIGAMOS HACIENDO HISTORIA,True,190762,False
PUEBLA,15,15,MORENA,SIGAMOS HACIENDO HISTORIA,True,181480,False
PUEBLA,16,16,MORENA,SIGAMOS HACIENDO HISTORIA,True,198892,False
QUERÉTARO,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,202130,False
QUERÉTARO,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,168279,False
QUERÉTARO,3,3,PAN,FUERZA Y CORAZON POR MEXICO,True,207083,False
QUERÉTARO,4,4,PAN,FUERZA Y CORAZON POR MEXICO,True,228344,False
QUERÉTARO,5,5,PAN,SIGAMOS HACIENDO HISTORIA,True,163398,False
QUERÉTARO,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,170146,False
QUINTANA ROO,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,204151,False
QUINTANA ROO,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,207963,False
QUINTANA ROO,3,3,MORENA,FUERZA Y CORAZON POR MEXICO,True,198750,False
QUINTANA ROO,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,171269,False
SAN LUIS POTOSÍ,1,1,PVEM,SIGAMOS HACIENDO HISTORIA,True,170770,False
SAN LUIS POTOSÍ,2,2,PVEM,SIGAMOS HACIENDO HISTORIA,True,156010,False
SAN LUIS POTOSÍ,3,3,PVEM,SIGAMOS HACIENDO HISTORIA,True,165555,False
SAN LUIS POTOSÍ,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,192967,False
SAN LUIS POTOSÍ,5,5,PAN,SIGAMOS HACIENDO HISTORIA,True,211271,False
SAN LUIS POTOSÍ,6,6,PVEM,SIGAMOS HACIENDO HISTORIA,True,195694,False
SAN LUIS POTOSÍ,7,7,PVEM,SIGAMOS HACIENDO HISTORIA,True,190196,False
SINALOA,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,166842,False
SINALOA,2,2,MORENA,FUERZA Y CORAZON POR MEXICO,True,193040,False
SINALOA,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,187759,False
SINALOA,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,179165,False
SINALOA,5,5,MORENA,SIGAMOS HACIENDO HISTORIA,True,193257,False
SINALOA,6,6,MORENA,FUERZA Y CORAZON POR MEXICO,True,183490,False
SINALOA,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,170539,False
SONORA,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,140386,False
SONORA,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,161158,False
SONORA,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,156625,False
SONORA,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,164914,False
SONORA,5,5,MORENA,SIGAMOS HACIENDO HISTORIA,True,185580,False
SONORA,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,167634,False
SONORA,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,152094,False
TABASCO,1,1,MORENA,FUERZA Y CORAZON POR MEXICO,True,146850,False
TABASCO,2,2,MORENA,FUERZA Y CORAZON POR MEXICO,True,173399,False
TABASCO,3,3,MORENA,FUERZA Y CORAZON POR MEXICO,True,162403,False
TABASCO,4,4,MORENA,FUERZA Y CORAZON POR MEXICO,True,185038,False
TABASCO,5,5,MORENA,FUERZA Y CORAZON POR MEXICO,True,201550,False
TABASCO,6,6,MORENA,FUERZA Y CORAZON POR MEXICO,True,168111,False
TAMAULIPAS,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,189216,False
TAMAULIPAS,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,166752,False
TAMAULIPAS,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,193471,False
TAMAULIPAS,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,174325,False
TAMAULIPAS,5,5,MORENA,SIGAMOS HACIENDO HISTORIA,True,223761,False
TAMAULIPAS,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,217789,False
TAMAULIPAS,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,144356,False
TAMAULIPAS,8,8,PAN,SIGAMOS HACIENDO HISTORIA,True,260283,False
TLAXCALA,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,225473,False
TLAXCALA,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,230218,False
TLAXCALA,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,237698,False
VERACRUZ,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,182943,False
VERACRUZ,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,173704,False
VERACRUZ,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,183025,False
VERACRUZ,4,4,PAN,SIGAMOS HACIENDO HISTORIA,True,193578,False
VERACRUZ,5,5,MORENA,SIGAMOS HACIENDO HISTORIA,True,200101,False
VERACRUZ,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,180631,False
VERACRUZ,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,178309,False
VERACRUZ,8,8,MORENA,FUERZA Y CORAZON POR MEXICO,True,188139,False
VERACRUZ,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,187194,False
VERACRUZ,10,10,MORENA,SIGAMOS HACIENDO HISTORIA,True,246472,False
VERACRUZ,11,11,MORENA,SIGAMOS HACIENDO HISTORIA,True,191002,False
VERACRUZ,12,12,MORENA,SIGAMOS HACIENDO HISTORIA,True,172695,False
VERACRUZ,13,13,MORENA,SIGAMOS HACIENDO HISTORIA,True,169028,False
VERACRUZ,14,14,MORENA,SIGAMOS HACIENDO HISTORIA,True,169254,False
VERACRUZ,15,15,MORENA,SIGAMOS HACIENDO HISTORIA,True,176973,False
VERACRUZ,16,16,MORENA,SIGAMOS HACIENDO HISTORIA,True,202868,False
VERACRUZ,17,17,MORENA,SIGAMOS HACIENDO HISTORIA,True,183748,False
VERACRUZ,18,18,MORENA,SIGAMOS HACIENDO HISTORIA,True,167787,False
VERACRUZ,19,19,MORENA,SIGAMOS HACIENDO HISTORIA,True,165786,False
YUCATÁN,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,209465,False
YUCATÁN,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,243417,False
YUCATÁN,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,182979,False
YUCATÁN,4,4,PAN,SIGAMOS HACIENDO HISTORIA,True,201051,False
YUCATÁN,5,5,MORENA,SIGAMOS HACIENDO HISTORIA,True,228063,False
YUCATÁN,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,175232,False
ZACATECAS,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,173788,False
ZACATECAS,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,190994,False
ZACATECAS,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,195120,False
ZACATECAS,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,171682,False
